date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:18	135/135	---MCZ	200	added ('OK')	text/plain	etag:W/%225def72f6-f4%22	https://www.owebest.com/robots.txt		(from )
10:50:19	745542/745542	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2007:50:17%20GMT	https://www.owebest.com/	C:/My%20Web%20Sites/muru%20tech/www.owebest.com/index.html	(from )
10:50:20	11978/11978	---MC-	200	added ('OK')	image/png	date:Wed,%2015%20Jun%202022%2007:50:19%20GMT	https://assets.owebest.com/img/logo-header-new-4-4.png	C:/My%20Web%20Sites/muru%20tech/assets.owebest.com/img/logo-header-new-4-4.png	(from https://www.owebest.com/)
10:50:20	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Jun%202022%2007:50:20%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/muru%20tech/www.googletagmanager.com/gtm.15445.delayed	(from https://www.owebest.com/)
10:50:20	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225cfda71d-47e%22	https://www.owebest.com/favicon.ico	C:/My%20Web%20Sites/muru%20tech/www.owebest.com/favicon.ico	(from https://www.owebest.com/)
10:50:21	45687/45687	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-b277%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.1.0/css/all.css	C:/My%20Web%20Sites/muru%20tech/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.1.0/css/all.css	(from https://www.owebest.com/)
10:50:22	44314/44314	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-ad1a%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.1.0/css/fontawesome.css	C:/My%20Web%20Sites/muru%20tech/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.1.0/css/fontawesome.css	(from https://www.owebest.com/)
10:50:22	207359/207359	---MCZ	200	added ('OK')	text/css	etag:W/%2262a83974-329ff%22	https://www.owebest.com/css/plugin.min.css?v=2.13	C:/My%20Web%20Sites/muru%20tech/www.owebest.com/css/plugin.min2a8e.css	(from https://www.owebest.com/)
10:50:25	174176/174176	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2015%20Jun%202022%2007:50:22%20GMT	https://assets.owebest.com/js/plugin.js?v=2.13	C:/My%20Web%20Sites/muru%20tech/assets.owebest.com/js/plugin2a8e.js	(from https://www.owebest.com/)
10:50:25	18530/18530	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2015%20Jun%202022%2007:50:24%20GMT	https://assets.owebest.com/js/custom.js?v=2.13	C:/My%20Web%20Sites/muru%20tech/assets.owebest.com/js/custom2a8e.js	(from https://www.owebest.com/)
